Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minutes
Friday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Steep grade upward with mountainous terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Female,5,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15,30
Saturday,Over 51,Male,Junior high school,5-10yr,Lorry (41?100Q),Governmental,1-2yr,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Turnover,Driver or rider,Male,Over 51,2,Not a Pedestrian,Changing lane to the left,Slight Injury,14,45
Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,Governmental,Above 10yr,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,19,30
Wednesday,Over 51,Male,Junior high school,2-5yr,Automobile,Organization,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,19,30
Friday,Over 51,Male,Junior high school,Above 10yr,Automobile,Organization,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Female,18-30,2,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,16,56
Monday,18-30,Male,Junior high school,1-2yr,Public (13?45 seats),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Rollover,3,2,Going straight,Pedestrian,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,17,50
Monday,18-30,Male,Above high school,1-2yr,Automobile,Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Serious Injury,17,50
Tuesday,31-50,Male,Above high school,No Licence,Public (13?45 seats),Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Getting off,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,9,4
Tuesday,Over 51,Male,Junior high school,1-2yr,Public (13?45 seats),Owner,2-5yrs, Church areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,9,4
Thursday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,10,40
Thursday,Over 51,Male,Junior high school,Above 10yr,Lorry (11?40Q),Owner,Above 10yr,  Market areas,other,Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,10,40
Thursday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,21,15
Thursday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,21,15
Friday,Under 18,Male,Elementary school,2-5yr,Other,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,16,0
Friday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,Governmental,1-2yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,3,Crossing from driver's nearside,No priority to vehicle,Slight Injury,16,0
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (11?40Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,16,0
Saturday,18-30,Male,Junior high school,2-5yr,Motorcycle,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Serious Injury,19,30
Saturday,18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Dry,Daylight,Normal,Rollover,2,2,Turnover,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,19,30
Saturday,18-30,Male,Elementary school,5-10yr,Lorry (11?40Q),Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,19,30
Sunday,31-50,Male,Junior high school,Above 10yr,Lorry (11?40Q),Owner,Unknown,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,9,32
Sunday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Getting off,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,9,32
Wednesday,Over 51,Male,Junior high school,2-5yr,Automobile,Organization,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Getting off,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,11,19
Wednesday,Over 51,Female,Junior high school,5-10yr,Other,Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,11,19
Friday,31-50,Male,Above high school,2-5yr,Other,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Collision with pedestrians,2,4,Overtaking,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,8,5
Friday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,1-2yr,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,6,26
Friday,18-30,Male,Junior high school,1-2yr,Taxi,Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,Other,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,6,26
Thursday,18-30,Male,Junior high school,2-5yr,Other,Owner,2-5yrs,Other,One way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Getting off,Passenger,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,9,20
Thursday,18-30,Male,Junior high school,Above 10yr,Taxi,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Getting off,Passenger,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,9,20
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (11?40Q),Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,9,25
Friday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,9,25
Monday,Over 51,Male,Junior high school,Below 1yr,Other,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,17,50
Monday,31-50,Male,High school,5-10yr,Automobile,Owner,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17,50
Sunday,31-50,Male,Above high school,1-2yr,Automobile,Governmental,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,2
Sunday,Under 18,Male,Junior high school,Below 1yr,Automobile,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,16,2
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,15,36
Tuesday,Under 18,Male,High school,Below 1yr,Lorry (41?100Q),Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,Over 51,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15,36
Saturday,18-30,Male,High school,Below 1yr,Other,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,20,46
Saturday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,20,46
Wednesday,31-50,Male,High school,2-5yr,Pick up upto 10Q,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,7,25
Wednesday,Under 18,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Other,other,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Serious Injury,7,25
Sunday,Over 51,Male,Junior high school,Above 10yr,Long lorry,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Getting off,Passenger,Female,Under 18,3,Not a Pedestrian,Changing lane to the left,Serious Injury,19,58
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Serious Injury,6,50
Wednesday,Under 18,Male,Junior high school,1-2yr,Public (13?45 seats),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,6,50
Friday,18-30,Female,Unknown,Below 1yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,12,8
Friday,18-30,Male,Junior high school,Below 1yr,Public (13?45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,12,8
Friday,Over 51,Male,High school,2-5yr,Other,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Collision with roadside objects,1,1,Reversing,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,12,8
Tuesday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,18,40
Tuesday,Over 51,Female,Junior high school,5-10yr,Lorry (41?100Q),Owner,5-10yrs, Church areas,One way,Tangent road with flat terrain,No junction,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,18,40
Sunday,Under 18,Male,Elementary school,2-5yr,Long lorry,Owner,Unknown,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,11,43
Sunday,Over 51,Male,Elementary school,5-10yr,Pick up upto 10Q,Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,11,43
Saturday,18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Wet or damp,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,12,0
Saturday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,12,0
Friday,31-50,Male,High school,5-10yr,Lorry (41?100Q),Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Not a Pedestrian,Changing lane to the left,Slight Injury,8,58
Thursday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,1-2yr,Other,other,Steep grade downward with mountainous terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,8,20
Friday,18-30,Male,Junior high school,Above 10yr,Other,Owner,2-5yrs,Office areas,One way,Steep grade downward with mountainous terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,23,10
Friday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,23,10
